Date,Opponent,Segment,Arena,Location,Attendance,Home Team,Year
23-May-08,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",11609,Atlanta Dream,2008
25-May-08,Los Angeles Sparks,Regular season,Philips Arena,"Atlanta, GA",11186,Atlanta Dream,2008
3-Jun-08,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",5844,Atlanta Dream,2008
6-Jun-08,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",7418,Atlanta Dream,2008
11-Jun-08,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5936,Atlanta Dream,2008
13-Jun-08,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",8167,Atlanta Dream,2008
18-Jun-08,San Antonio Silver Stars,Regular season,Philips Arena,"Atlanta, GA",6225,Atlanta Dream,2008
22-Jun-08,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",7865,Atlanta Dream,2008
1-Jul-08,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",9795,Atlanta Dream,2008
3-Jul-08,Houston Comets,Regular season,Philips Arena,"Atlanta, GA",7430,Atlanta Dream,2008
5-Jul-08,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",8468,Atlanta Dream,2008
22-Jul-08,Sacramento Monarchs,Regular season,Philips Arena,"Atlanta, GA",10431,Atlanta Dream,2008
25-Jul-08,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",8279,Atlanta Dream,2008
27-Jul-08,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",8759,Atlanta Dream,2008
29-Aug-08,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",11442,Atlanta Dream,2008
2-Sep-08,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",7390,Atlanta Dream,2008
8-Sep-08,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",7706,Atlanta Dream,2008
6-Jun-09,Indiana Fever,Regular season,Philips Arena,"Atlanta, GA",8709,Atlanta Dream,2009
19-Jun-09,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",6050,Atlanta Dream,2009
21-Jun-09,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",5624,Atlanta Dream,2009
23-Jun-09,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",10351,Atlanta Dream,2009
26-Jun-09,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",5935,Atlanta Dream,2009
30-Jun-09,Minnesota Lynx,Regular season,Philips Arena,"Atlanta, GA",7686,Atlanta Dream,2009
3-Jul-09,Washington Mystics,Regular season,Philips Arena,"Atlanta, GA",5456,Atlanta Dream,2009
7-Jul-09,Connecticut Sun,Regular season,Philips Arena,"Atlanta, GA",6225,Atlanta Dream,2009
30-Jul-09,Phoenix Mercury,Regular season,Philips Arena,"Atlanta, GA",7827,Atlanta Dream,2009
1-Aug-09,New York Liberty,Regular season,Philips Arena,"Atlanta, GA",6103,Atlanta Dream,2009
8-Aug-09,Chicago Sky,Regular season,Philips Arena,"Atlanta, GA",5424,Atlanta Dream,2009
13-Aug-09,Detroit Shock,Regular season,Philips Arena,"Atlanta, GA",5641,Atlanta Dream,2009
15-Aug-09,Seattle Storm,Regular season,Philips Arena,"Atlanta, GA",8751,Atlanta Dream,2009
